"nuts5","nuts4","nazev","pocetObyvatel","muzi","zeny","prumernyVek","prumernyVekMuzi","prumernyVekZeny"
"500011","CZ0724","Želechovice nad Dřevnicí",1865,925,940,45.00,43.20,46.70
"500020","CZ0715","Petrov nad Desnou",1224,609,615,43.10,41.40,44.80
"500046","CZ0804","Libhošť",1719,857,862,41.20,40.00,42.50
"500054","CZ0100","Praha 1",24213,12614,11599,0.00,0.00,0.00
"500062","CZ0723","Krhová",1996,992,1004,42.00,40.50,43.50
"500071","CZ0723","Poličná",1747,882,865,42.70,41.10,44.40
"500089","CZ0100","Praha 2",38952,19320,19632,0.00,0.00,0.00
"500097","CZ0100","Praha 3",62372,30204,32168,0.00,0.00,0.00
"500101","CZ0412","Bražec",220,126,94,37.80,37.70,37.90
"500119","CZ0100","Praha 4",115840,54566,61274,0.00,0.00,0.00
"500127","CZ0412","Doupovské Hradiště",159,93,66,40.30,39.30,41.80
"500135","CZ0712","Kozlov",223,111,112,41.30,41.30,41.40
"500143","CZ0100","Praha 5",73107,35241,37866,0.00,0.00,0.00
"500151","CZ0714","Luboměř pod Strážnou",115,65,50,41.60,39.00,45.10
"500160","CZ0712","Město Libavá",598,320,278,40.50,39.10,42.00
"500178","CZ0100","Praha 6",93105,44106,48999,0.00,0.00,0.00
"500186","CZ0100","Praha 7",38112,18805,19307,0.00,0.00,0.00
"500194","CZ0312","Polná na Šumavě",206,120,86,38.50,39.20,37.60
"500208","CZ0100","Praha 8",95063,45127,49936,0.00,0.00,0.00
"500216","CZ0100","Praha 9",47865,22333,25532,0.00,0.00,0.00
"500224","CZ0100","Praha 10",96522,44999,51523,0.00,0.00,0.00
"500259","CZ0804","Veřovice",2013,1008,1005,42.30,40.90,43.60
"500291","CZ0806","Vřesina",2951,1461,1490,42.80,41.50,44.10
"500496","CZ0712","Olomouc",100523,47632,52891,42.50,40.70,44.20
"500526","CZ0712","Bělkovice-Lašťany",2306,1156,1150,40.30,39.10,41.50
"500623","CZ0712","Bílá Lhota",1137,592,545,43.90,42.30,45.70
"500801","CZ0712","Blatec",642,326,316,41.90,42.00,41.80
"500852","CZ0712","Bohuňovice",2532,1269,1263,42.40,40.80,44.00
"500861","CZ0712","Bouzov",1500,755,745,43.70,42.50,44.90
"500879","CZ0712","Bystročice",816,406,410,40.60,40.00,41.10
"501298","CZ0427","Ústí nad Labem-Severní terasa",19371,9155,10216,0.00,0.00,0.00
"501476","CZ0712","Dlouhá Loučka",1971,993,978,41.60,40.90,42.30
"501646","CZ0712","Dolany",2772,1365,1407,39.70,39.00,40.30
"501751","CZ0712","Drahanovice",1684,857,827,42.90,41.20,44.70
"501794","CZ0712","Dub nad Moravou",1637,823,814,41.20,40.10,42.30
"501841","CZ0712","Grygov",1533,753,780,41.50,40.00,43.00
"502081","CZ0427","Ústí nad Labem-Neštěmice",23305,11381,11924,0.00,0.00,0.00
"502146","CZ0712","Hlubočky",4221,2088,2133,43.10,41.40,44.80
"502235","CZ0712","Hněvotín",1834,926,908,39.30,39.10,39.50
"502316","CZ0427","Ústí nad Labem-Střekov",13736,6656,7080,0.00,0.00,0.00
"502405","CZ0712","Hnojice",637,313,324,39.30,38.20,40.40
"502545","CZ0712","Horka nad Moravou",2488,1244,1244,41.30,40.00,42.70
"502839","CZ0712","Cholina",741,364,377,41.80,40.30,43.20
"503142","CZ0712","Jívová",591,299,292,40.80,41.30,40.20
"503304","CZ0712","Kožušany-Tážaly",869,434,435,42.70,41.60,43.90
"503410","CZ0208","Žitovlice",185,93,92,46.60,45.20,48.00
"503444","CZ0712","Litovel",9810,4839,4971,43.30,41.90,44.60
"503622","CZ0712","Luká",867,415,452,43.30,41.10,45.40
"503657","CZ0712","Lutín",3273,1648,1625,41.80,41.00,42.50
"503738","CZ0712","Majetín",1187,615,572,41.30,40.00,42.70
"503916","CZ0327","Kostelec",592,303,289,37.00,36.80,37.30
"504246","CZ0712","Mladeč",758,417,341,42.90,43.20,42.50
"504301","CZ0531","Dřenice",398,191,207,39.10,38.30,39.70
"504441","CZ0712","Náklo",1515,762,753,41.20,40.10,42.30
"504505","CZ0712","Náměšť na Hané",2053,1007,1046,43.00,41.30,44.60
"504785","CZ0712","Paseka",1294,673,621,40.30,38.90,41.90
"504807","CZ0531","Lány",274,128,146,40.10,40.70,39.60
"504921","CZ0531","Třibřichy",300,151,149,41.00,40.40,41.60
"504955","CZ0531","Dvakačovice",170,97,73,41.20,42.00,40.20
"505005","CZ0531","Bítovany",421,213,208,43.10,42.60,43.70
"505013","CZ0712","Příkazy",1315,646,669,42.70,41.50,43.80
"505030","CZ0531","Dolní Bezděkov",218,110,108,40.70,40.10,41.40
"505081","CZ0712","Senice na Hané",1795,888,907,43.30,42.10,44.40
"505099","CZ0523","Červená Hora",200,107,93,41.40,40.20,42.80
"505111","CZ0712","Slatinice",1616,826,790,44.40,42.40,46.50
"505145","CZ0533","Březová nad Svitavou",1655,816,839,40.00,38.40,41.60
"505161","CZ0712","Štěpánov",3506,1697,1809,41.70,40.80,42.50
"505188","CZ0712","Šternberk",13495,6516,6979,42.90,41.10,44.50
"505218","CZ0712","Šumvald",1656,827,829,42.60,41.20,44.00
"505269","CZ0712","Těšetice",1282,634,648,43.10,41.60,44.60
"505293","CZ0712","Troubelice",1890,907,983,41.70,40.40,43.00
"505366","CZ0712","Tršice",1664,828,836,41.60,40.30,42.90
"505391","CZ0533","Bělá u Jevíčka",359,188,171,45.10,42.00,48.60
"505501","CZ0712","Újezd",1441,733,708,42.90,41.10,44.70
"505528","CZ0423","Jenčice",333,173,160,46.40,44.50,48.50
"505587","CZ0712","Uničov",11396,5575,5821,43.80,41.90,45.70
"505609","CZ0712","Velká Bystřice",3384,1700,1684,40.80,39.40,42.20
"505650","CZ0712","Velký Týnec",2922,1448,1474,38.90,38.20,39.50
"505668","CZ0712","Velký Újezd",1364,683,681,40.00,38.20,41.90
"505781","CZ0209","Zápy",868,459,409,40.20,39.60,40.80
"505862","CZ0712","Žerotín",464,233,231,41.10,41.00,41.20
"505927","CZ0805","Opava",56638,27258,29380,43.20,41.30,45.00
"506192","CZ0805","Bohuslavice",1784,892,892,39.30,38.50,40.20
"506214","CZ0805","Bolatice",4478,2214,2264,41.40,40.30,42.50
"506320","CZ0805","Brumovice",1491,744,747,41.70,41.50,41.80
"506451","CZ0805","Březová",1391,717,674,40.80,40.10,41.50
"506460","CZ0805","Budišov nad Budišovkou",2908,1450,1458,42.70,40.50,44.80
"506486","CZ0412","Boží Dar",253,127,126,40.40,38.90,41.80
"506494","CZ0412","Nové Hamry",339,189,150,46.70,46.80,46.60
"506621","CZ0412","Čichalov",171,79,92,38.10,38.30,38.00
