"obecVysledkyId","obecId","nuts5","stranaId","hlasy","hlasyPct"
1,1,"500054",1,10,0.12
2,1,"500054",2,27,0.32
3,1,"500054",3,18,0.22
4,1,"500054",4,5,0.06
5,1,"500054",5,1756,21.01
6,1,"500054",6,55,0.66
7,1,"500054",7,205,2.45
8,1,"500054",8,9,0.11
9,1,"500054",9,190,2.27
10,1,"500054",10,8,0.10
11,1,"500054",11,6,0.07
12,1,"500054",12,32,0.38
13,1,"500054",13,15,0.18
14,1,"500054",14,2,0.02
15,1,"500054",15,2,0.02
16,1,"500054",16,61,0.73
17,1,"500054",17,6,0.07
18,1,"500054",19,14,0.17
19,1,"500054",21,1,0.01
20,1,"500054",22,9,0.11
21,1,"500054",23,6,0.07
22,1,"500054",24,302,3.61
23,1,"500054",25,71,0.85
24,1,"500054",26,2160,25.84
25,1,"500054",27,1624,19.43
26,1,"500054",28,410,4.91
27,1,"500054",29,1,0.01
28,1,"500054",30,603,7.21
29,1,"500054",31,6,0.07
30,1,"500054",32,2,0.02
31,1,"500054",33,1,0.01
32,1,"500054",34,31,0.37
33,1,"500054",35,8,0.10
34,1,"500054",36,14,0.17
35,1,"500054",37,103,1.23
36,1,"500054",39,558,6.68
37,1,"500054",40,27,0.32
38,2,"500089",1,9,0.07
39,2,"500089",2,40,0.32
40,2,"500089",3,32,0.26
41,2,"500089",4,1,0.01
42,2,"500089",5,2403,19.44
43,2,"500089",6,92,0.74
44,2,"500089",7,282,2.28
45,2,"500089",8,9,0.07
46,2,"500089",9,276,2.23
47,2,"500089",10,10,0.08
48,2,"500089",11,7,0.06
49,2,"500089",12,48,0.39
50,2,"500089",13,17,0.14
51,2,"500089",14,4,0.03
52,2,"500089",15,3,0.02
53,2,"500089",16,55,0.44
54,2,"500089",17,4,0.03
55,2,"500089",18,2,0.02
56,2,"500089",19,20,0.16
57,2,"500089",21,1,0.01
58,2,"500089",22,10,0.08
59,2,"500089",23,17,0.14
60,2,"500089",24,460,3.72
61,2,"500089",25,120,0.97
62,2,"500089",26,3099,25.07
63,2,"500089",27,2694,21.79
64,2,"500089",28,621,5.02
65,2,"500089",29,7,0.06
66,2,"500089",30,1080,8.74
67,2,"500089",31,10,0.08
68,2,"500089",32,2,0.02
69,2,"500089",33,3,0.02
70,2,"500089",34,50,0.40
71,2,"500089",35,14,0.11
72,2,"500089",36,13,0.11
73,2,"500089",37,129,1.04
74,2,"500089",38,1,0.01
75,2,"500089",39,658,5.32
76,2,"500089",40,58,0.47
77,3,"500097",1,16,0.09
78,3,"500097",2,45,0.24
79,3,"500097",3,45,0.24
80,3,"500097",4,13,0.07
81,3,"500097",5,3489,18.77
82,3,"500097",6,150,0.81
83,3,"500097",7,570,3.07
84,3,"500097",8,11,0.06
85,3,"500097",9,658,3.54
86,3,"500097",10,22,0.12
87,3,"500097",11,14,0.08
88,3,"500097",12,70,0.38
89,3,"500097",13,21,0.11
90,3,"500097",14,9,0.05
91,3,"500097",15,11,0.06
92,3,"500097",16,121,0.65
93,3,"500097",17,7,0.04
94,3,"500097",18,4,0.02
95,3,"500097",19,32,0.17
96,3,"500097",21,5,0.03
97,3,"500097",22,13,0.07
98,3,"500097",23,17,0.09
99,3,"500097",24,706,3.80
100,3,"500097",25,167,0.90
101,3,"500097",26,4134,22.24
102,3,"500097",27,3895,20.96
103,3,"500097",28,1022,5.50
104,3,"500097",29,6,0.03
105,3,"500097",30,2046,11.01
106,3,"500097",31,18,0.10
107,3,"500097",32,2,0.01
108,3,"500097",33,3,0.02
109,3,"500097",34,84,0.45
110,3,"500097",35,11,0.06
111,3,"500097",36,31,0.17
112,3,"500097",37,188,1.01
113,3,"500097",38,1,0.01
114,3,"500097",39,847,4.56
115,3,"500097",40,82,0.44
116,4,"500119",1,39,0.10
117,4,"500119",2,119,0.32
