"okresId","nuts4","nuts3","krajId","nazev","okrsky","zpracovano","pocetVolicu","vydaneObalky","ucast","odevzdaneObalky","platneHlasy"
1,"CZ0100","CZ010",1,"Praha",1116,1116,907999,347892,38.31,347714,345558
2,"CZ0201","CZ020",2,"Benešov",217,217,78620,23812,30.29,23806,23627
3,"CZ0202","CZ020",2,"Beroun",126,126,71143,21268,29.89,21264,21138
4,"CZ0203","CZ020",2,"Kladno",212,212,127679,33642,26.35,33626,33408
5,"CZ0204","CZ020",2,"Kolín",167,167,78531,22252,28.34,22245,22097
6,"CZ0205","CZ020",2,"Kutná Hora",162,162,60152,16777,27.89,16777,16661
7,"CZ0206","CZ020",2,"Mělník",146,146,83347,22239,26.68,22230,22084
8,"CZ0207","CZ020",2,"Mladá Boleslav",222,222,94425,26290,27.84,26282,26052
9,"CZ0208","CZ020",2,"Nymburk",158,158,76338,22437,29.39,22429,22271
10,"CZ0209","CZ020",2,"Praha-východ",178,178,127070,45004,35.42,44996,44741
11,"CZ020A","CZ020",2,"Praha-západ",129,129,103336,40423,39.12,40413,40184
12,"CZ020B","CZ020",2,"Příbram",226,226,92092,27754,30.14,27749,27564
13,"CZ020C","CZ020",2,"Rakovník",120,120,44214,11771,26.62,11761,11666
14,"CZ0311","CZ031",3,"České Budějovice",306,306,153350,45616,29.75,45603,45288
15,"CZ0312","CZ031",3,"Český Krumlov",80,80,47553,12497,26.28,12494,12393
16,"CZ0313","CZ031",3,"Jindřichův Hradec",215,215,74134,21572,29.10,21553,21406
17,"CZ0314","CZ031",3,"Písek",147,147,56928,16542,29.06,16540,16413
18,"CZ0315","CZ031",3,"Prachatice",109,109,40956,10831,26.45,10824,10748
19,"CZ0316","CZ031",3,"Strakonice",196,196,56363,16457,29.20,16454,16347
20,"CZ0317","CZ031",3,"Tábor",207,207,82489,24830,30.10,24820,24629
21,"CZ0321","CZ032",4,"Domažlice",138,138,48029,12581,26.19,12580,12455
22,"CZ0322","CZ032",4,"Klatovy",231,231,69637,20127,28.90,20122,19985
23,"CZ0323","CZ032",4,"Plzeň-město",208,208,143769,44417,30.89,44398,44095
24,"CZ0324","CZ032",4,"Plzeň-jih",177,177,49597,13403,27.02,13401,13298
25,"CZ0325","CZ032",4,"Plzeň-sever",147,147,63085,16876,26.75,16871,16768
26,"CZ0326","CZ032",4,"Rokycany",101,101,38368,10405,27.12,10402,10303
27,"CZ0327","CZ032",4,"Tachov",85,85,40727,8917,21.89,8917,8850
28,"CZ0411","CZ041",5,"Cheb",112,112,70630,16431,23.26,16419,16300
29,"CZ0412","CZ041",5,"Karlovy Vary",140,140,90380,23406,25.90,23398,23198
30,"CZ0413","CZ041",5,"Sokolov",92,92,71979,14191,19.72,14187,14037
31,"CZ0421","CZ042",6,"Děčín",151,151,103512,23360,22.57,23353,23177
32,"CZ0422","CZ042",6,"Chomutov",118,118,98134,18645,19.00,18637,18496
33,"CZ0423","CZ042",6,"Litoměřice",217,217,94481,24567,26.00,24542,24354
34,"CZ0424","CZ042",6,"Louny",167,167,69099,16744,24.23,16740,16631
35,"CZ0425","CZ042",6,"Most",124,124,89055,17169,19.28,17164,17028
36,"CZ0426","CZ042",6,"Teplice",131,131,100725,20862,20.71,20854,20705
37,"CZ0427","CZ042",6,"Ústí nad Labem",137,137,93311,21522,23.06,21520,21329
38,"CZ0511","CZ051",7,"Česká Lípa",149,149,82218,19427,23.63,19423,19276
39,"CZ0512","CZ051",7,"Jablonec nad Nisou",120,120,71400,20301,28.43,20294,20129
40,"CZ0513","CZ051",7,"Liberec",194,194,135009,39006,28.89,38987,38704
41,"CZ0514","CZ051",7,"Semily",120,120,59491,19821,33.32,19813,19691
42,"CZ0521","CZ052",8,"Hradec Králové",252,252,129938,43027,33.11,43011,42694
43,"CZ0522","CZ052",8,"Jičín",181,181,64128,19029,29.67,19027,18872
44,"CZ0523","CZ052",8,"Náchod",185,185,88675,26318,29.68,26304,26088
45,"CZ0524","CZ052",8,"Rychnov nad Kněžnou",144,144,63069,18571,29.45,18567,18446
46,"CZ0525","CZ052",8,"Trutnov",165,165,95801,26914,28.09,26906,26661
47,"CZ0531","CZ053",9,"Chrudim",217,217,83951,22983,27.38,22977,22799
48,"CZ0532","CZ053",9,"Pardubice",260,260,133289,39635,29.74,39603,39324
49,"CZ0533","CZ053",9,"Svitavy",188,188,83844,22202,26.48,22199,22021
50,"CZ0534","CZ053",9,"Ústí nad Orlicí",211,211,109270,33412,30.58,33393,33148
51,"CZ0631","CZ063",10,"Havlíčkův Brod",211,211,76284,22399,29.36,22394,22241
52,"CZ0632","CZ063",10,"Jihlava",218,218,89544,26960,30.11,26955,26772
53,"CZ0633","CZ063",10,"Pelhřimov",194,194,58282,18003,30.89,18001,17852
54,"CZ0634","CZ063",10,"Třebíč",248,248,90417,25787,28.52,25782,25634
55,"CZ0635","CZ063",10,"Žďár nad Sázavou",266,266,95253,28091,29.49,28084,27909
56,"CZ0641","CZ064",11,"Blansko",195,195,86675,26042,30.05,26027,25829
57,"CZ0642","CZ064",11,"Brno-město",351,351,303292,98184,32.37,98098,97549
58,"CZ0643","CZ064",11,"Brno-venkov",250,250,171964,53603,31.17,53588,53286
59,"CZ0644","CZ064",11,"Břeclav",115,115,94163,23834,25.31,23830,23696
60,"CZ0645","CZ064",11,"Hodonín",161,161,126852,33931,26.75,33920,33717
61,"CZ0646","CZ064",11,"Vyškov",132,132,72962,20489,28.08,20485,20310
62,"CZ0647","CZ064",11,"Znojmo",200,200,92086,23944,26.00,23938,23768
63,"CZ0711","CZ071",12,"Jeseník",49,49,31838,7177,22.54,7175,7108
64,"CZ0712","CZ071",12,"Olomouc",305,305,187724,52271,27.84,52245,51917
65,"CZ0713","CZ071",12,"Prostějov",179,179,87628,21952,25.05,21931,21803
66,"CZ0714","CZ071",12,"Přerov",208,208,105833,27697,26.17,27689,27495
67,"CZ0715","CZ071",12,"Šumperk",191,191,98745,26120,26.45,26112,25896
68,"CZ0721","CZ072",13,"Kroměříž",166,166,86490,24845,28.73,24839,24672
