"okresVysledkyId","okresId","nuts4","stranaId","hlasy","hlasyPct"
1,1,"CZ0100",1,375,0.11
2,1,"CZ0100",2,1095,0.32
3,1,"CZ0100",3,939,0.27
4,1,"CZ0100",4,216,0.06
5,1,"CZ0100",5,65259,18.89
6,1,"CZ0100",6,2948,0.85
7,1,"CZ0100",7,9712,2.81
8,1,"CZ0100",8,159,0.05
9,1,"CZ0100",9,13156,3.81
10,1,"CZ0100",10,307,0.09
11,1,"CZ0100",11,272,0.08
12,1,"CZ0100",12,1629,0.47
13,1,"CZ0100",13,483,0.14
14,1,"CZ0100",14,180,0.05
15,1,"CZ0100",15,223,0.06
16,1,"CZ0100",16,2293,0.66
17,1,"CZ0100",17,320,0.09
18,1,"CZ0100",18,71,0.02
19,1,"CZ0100",19,655,0.19
20,1,"CZ0100",21,86,0.02
21,1,"CZ0100",22,355,0.10
22,1,"CZ0100",23,267,0.08
23,1,"CZ0100",24,12805,3.71
24,1,"CZ0100",25,3005,0.87
25,1,"CZ0100",26,71687,20.75
26,1,"CZ0100",27,66099,19.13
27,1,"CZ0100",28,19958,5.78
28,1,"CZ0100",29,191,0.06
29,1,"CZ0100",30,46137,13.35
30,1,"CZ0100",31,328,0.09
31,1,"CZ0100",32,86,0.02
32,1,"CZ0100",33,68,0.02
33,1,"CZ0100",34,1694,0.49
34,1,"CZ0100",35,319,0.09
35,1,"CZ0100",36,587,0.17
36,1,"CZ0100",37,3476,1.01
37,1,"CZ0100",38,44,0.01
38,1,"CZ0100",39,16505,4.78
39,1,"CZ0100",40,1569,0.45
40,2,"CZ0201",1,32,0.14
41,2,"CZ0201",2,104,0.44
42,2,"CZ0201",3,82,0.35
43,2,"CZ0201",4,16,0.07
44,2,"CZ0201",5,3492,14.78
45,2,"CZ0201",6,352,1.49
46,2,"CZ0201",7,975,4.13
47,2,"CZ0201",8,10,0.04
48,2,"CZ0201",9,1468,6.21
49,2,"CZ0201",10,55,0.23
50,2,"CZ0201",11,74,0.31
51,2,"CZ0201",12,206,0.87
52,2,"CZ0201",13,61,0.26
53,2,"CZ0201",14,29,0.12
54,2,"CZ0201",15,30,0.13
55,2,"CZ0201",16,196,0.83
56,2,"CZ0201",17,11,0.05
57,2,"CZ0201",18,12,0.05
58,2,"CZ0201",19,67,0.28
59,2,"CZ0201",21,5,0.02
60,2,"CZ0201",22,24,0.10
61,2,"CZ0201",23,28,0.12
62,2,"CZ0201",24,527,2.23
63,2,"CZ0201",25,151,0.64
64,2,"CZ0201",26,2900,12.27
65,2,"CZ0201",27,3377,14.29
66,2,"CZ0201",28,1882,7.97
67,2,"CZ0201",29,12,0.05
68,2,"CZ0201",30,5318,22.51
69,2,"CZ0201",31,40,0.17
70,2,"CZ0201",32,10,0.04
71,2,"CZ0201",33,6,0.03
72,2,"CZ0201",34,135,0.57
73,2,"CZ0201",35,29,0.12
74,2,"CZ0201",36,96,0.41
75,2,"CZ0201",37,118,0.50
76,2,"CZ0201",38,2,0.01
77,2,"CZ0201",39,1599,6.77
78,2,"CZ0201",40,96,0.41
79,3,"CZ0202",1,39,0.18
80,3,"CZ0202",2,104,0.49
81,3,"CZ0202",3,68,0.32
82,3,"CZ0202",4,13,0.06
83,3,"CZ0202",5,3818,18.06
84,3,"CZ0202",6,349,1.65
85,3,"CZ0202",7,873,4.13
86,3,"CZ0202",8,13,0.06
87,3,"CZ0202",9,1674,7.92
88,3,"CZ0202",10,33,0.16
89,3,"CZ0202",11,36,0.17
90,3,"CZ0202",12,175,0.83
91,3,"CZ0202",13,50,0.24
92,3,"CZ0202",14,19,0.09
93,3,"CZ0202",15,23,0.11
94,3,"CZ0202",16,158,0.75
95,3,"CZ0202",17,14,0.07
96,3,"CZ0202",18,10,0.05
97,3,"CZ0202",19,60,0.28
98,3,"CZ0202",21,7,0.03
99,3,"CZ0202",22,47,0.22
100,3,"CZ0202",23,27,0.13
101,3,"CZ0202",24,683,3.23
102,3,"CZ0202",25,149,0.70
103,3,"CZ0202",26,2570,12.16
104,3,"CZ0202",27,3351,15.85
105,3,"CZ0202",28,1552,7.34
106,3,"CZ0202",29,10,0.05
107,3,"CZ0202",30,3958,18.72
108,3,"CZ0202",31,46,0.22
109,3,"CZ0202",32,6,0.03
110,3,"CZ0202",33,4,0.02
111,3,"CZ0202",34,157,0.74
112,3,"CZ0202",35,23,0.11
113,3,"CZ0202",36,55,0.26
114,3,"CZ0202",37,133,0.63
115,3,"CZ0202",38,4,0.02
116,3,"CZ0202",39,727,3.44
117,3,"CZ0202",40,100,0.47
118,4,"CZ0203",1,79,0.24
119,4,"CZ0203",2,160,0.48
120,4,"CZ0203",3,82,0.25
121,4,"CZ0203",4,17,0.05
122,4,"CZ0203",5,5090,15.24
123,4,"CZ0203",6,582,1.74
124,4,"CZ0203",7,1240,3.71
125,4,"CZ0203",8,34,0.10
126,4,"CZ0203",9,2837,8.49
127,4,"CZ0203",10,71,0.21
128,4,"CZ0203",11,99,0.30
129,4,"CZ0203",12,329,0.98
130,4,"CZ0203",13,83,0.25
131,4,"CZ0203",14,44,0.13
132,4,"CZ0203",15,50,0.15
133,4,"CZ0203",16,289,0.87
134,4,"CZ0203",17,25,0.07
135,4,"CZ0203",18,10,0.03
136,4,"CZ0203",19,103,0.31
137,4,"CZ0203",21,9,0.03
138,4,"CZ0203",22,131,0.39
139,4,"CZ0203",23,20,0.06
140,4,"CZ0203",24,1062,3.18
141,4,"CZ0203",25,297,0.89
142,4,"CZ0203",26,3861,11.56
143,4,"CZ0203",27,5014,15.01
144,4,"CZ0203",28,3123,9.35
145,4,"CZ0203",29,29,0.09
146,4,"CZ0203",30,6898,20.65
147,4,"CZ0203",31,43,0.13
148,4,"CZ0203",32,21,0.06
149,4,"CZ0203",33,16,0.05
150,4,"CZ0203",34,250,0.75
151,4,"CZ0203",35,91,0.27
152,4,"CZ0203",36,71,0.21
153,4,"CZ0203",37,181,0.54
154,4,"CZ0203",38,3,0.01
155,4,"CZ0203",39,903,2.70
156,4,"CZ0203",40,161,0.48
157,5,"CZ0204",1,24,0.11
158,5,"CZ0204",2,124,0.56
159,5,"CZ0204",3,93,0.42
160,5,"CZ0204",4,15,0.07
161,5,"CZ0204",5,2975,13.46
162,5,"CZ0204",6,358,1.62
163,5,"CZ0204",7,818,3.70
164,5,"CZ0204",8,9,0.04
165,5,"CZ0204",9,1758,7.96
166,5,"CZ0204",10,35,0.16
167,5,"CZ0204",11,39,0.18
168,5,"CZ0204",12,203,0.92
169,5,"CZ0204",13,61,0.28
170,5,"CZ0204",14,14,0.06
171,5,"CZ0204",15,58,0.26
172,5,"CZ0204",16,180,0.81
173,5,"CZ0204",17,14,0.06
174,5,"CZ0204",18,10,0.05
175,5,"CZ0204",19,67,0.30
176,5,"CZ0204",21,5,0.02
177,5,"CZ0204",22,78,0.35
178,5,"CZ0204",23,25,0.11
179,5,"CZ0204",24,487,2.20
180,5,"CZ0204",25,150,0.68
181,5,"CZ0204",26,3758,17.01
182,5,"CZ0204",27,2914,13.19
183,5,"CZ0204",28,2076,9.39
184,5,"CZ0204",29,11,0.05
185,5,"CZ0204",30,4637,20.98
186,5,"CZ0204",31,23,0.10
187,5,"CZ0204",32,7,0.03
188,5,"CZ0204",33,8,0.04
189,5,"CZ0204",34,153,0.69
190,5,"CZ0204",35,14,0.06
191,5,"CZ0204",36,53,0.24
192,5,"CZ0204",37,92,0.42
193,5,"CZ0204",38,5,0.02
194,5,"CZ0204",39,663,3.00
195,5,"CZ0204",40,83,0.38
196,6,"CZ0205",1,11,0.07
197,6,"CZ0205",2,67,0.40
198,6,"CZ0205",3,55,0.33
199,6,"CZ0205",4,12,0.07
200,6,"CZ0205",5,2318,13.91
201,6,"CZ0205",6,302,1.81
202,6,"CZ0205",7,742,4.45
203,6,"CZ0205",8,10,0.06
204,6,"CZ0205",9,1269,7.62
205,6,"CZ0205",10,35,0.21
206,6,"CZ0205",11,34,0.20
207,6,"CZ0205",12,159,0.95
208,6,"CZ0205",13,39,0.23
209,6,"CZ0205",14,29,0.17
210,6,"CZ0205",15,28,0.17
211,6,"CZ0205",16,121,0.73
212,6,"CZ0205",17,16,0.10
213,6,"CZ0205",18,5,0.03
214,6,"CZ0205",19,43,0.26
215,6,"CZ0205",21,4,0.02
216,6,"CZ0205",22,69,0.41
217,6,"CZ0205",23,15,0.09
218,6,"CZ0205",24,293,1.76
219,6,"CZ0205",25,81,0.49
220,6,"CZ0205",26,2058,12.35
221,6,"CZ0205",27,2225,13.35
222,6,"CZ0205",28,1669,10.02
223,6,"CZ0205",29,17,0.10
224,6,"CZ0205",30,3765,22.60
225,6,"CZ0205",31,33,0.20
226,6,"CZ0205",32,8,0.05
227,6,"CZ0205",33,8,0.05
228,6,"CZ0205",34,119,0.71
229,6,"CZ0205",35,17,0.10
230,6,"CZ0205",36,27,0.16
231,6,"CZ0205",37,53,0.32
232,6,"CZ0205",38,1,0.01
233,6,"CZ0205",39,825,4.95
234,6,"CZ0205",40,79,0.47
235,7,"CZ0206",1,45,0.20
236,7,"CZ0206",2,125,0.57
237,7,"CZ0206",3,59,0.27
238,7,"CZ0206",4,13,0.06
239,7,"CZ0206",5,3877,17.56
240,7,"CZ0206",6,418,1.89
241,7,"CZ0206",7,776,3.51
242,7,"CZ0206",8,8,0.04
243,7,"CZ0206",9,1554,7.04
244,7,"CZ0206",10,75,0.34
245,7,"CZ0206",11,40,0.18
246,7,"CZ0206",12,188,0.85
247,7,"CZ0206",13,54,0.24
248,7,"CZ0206",14,22,0.10
249,7,"CZ0206",15,20,0.09
250,7,"CZ0206",16,207,0.94
251,7,"CZ0206",17,24,0.11
252,7,"CZ0206",18,12,0.05
253,7,"CZ0206",19,64,0.29
254,7,"CZ0206",21,8,0.04
255,7,"CZ0206",22,46,0.21
256,7,"CZ0206",23,24,0.11
257,7,"CZ0206",24,573,2.59
258,7,"CZ0206",25,152,0.69
259,7,"CZ0206",26,2660,12.04
260,7,"CZ0206",27,3311,14.99
261,7,"CZ0206",28,1926,8.72
262,7,"CZ0206",29,21,0.10
263,7,"CZ0206",30,4643,21.02
264,7,"CZ0206",31,43,0.19
265,7,"CZ0206",32,7,0.03
266,7,"CZ0206",33,8,0.04
267,7,"CZ0206",34,184,0.83
268,7,"CZ0206",35,26,0.12
269,7,"CZ0206",36,53,0.24
270,7,"CZ0206",37,128,0.58
271,7,"CZ0206",38,0,0.00
272,7,"CZ0206",39,575,2.60
273,7,"CZ0206",40,115,0.52
