"krajVysledkyId","krajId","stranaId","hlasy","hlasyPct"
1,1,1,375,0.10
2,1,2,1095,0.31
3,1,3,939,0.27
4,1,4,216,0.06
5,1,5,65259,18.88
6,1,6,2948,0.85
7,1,7,9712,2.81
8,1,8,159,0.04
9,1,9,13156,3.80
10,1,10,307,0.08
11,1,11,272,0.07
12,1,12,1629,0.47
13,1,13,483,0.13
14,1,14,180,0.05
15,1,15,223,0.06
16,1,16,2293,0.66
17,1,17,320,0.09
18,1,18,71,0.02
19,1,19,655,0.18
20,1,21,86,0.02
21,1,22,355,0.10
22,1,23,267,0.07
23,1,24,12805,3.70
24,1,25,3005,0.86
25,1,26,71687,20.74
26,1,27,66099,19.12
27,1,28,19958,5.77
28,1,29,191,0.05
29,1,30,46137,13.35
30,1,31,328,0.09
31,1,32,86,0.02
32,1,33,68,0.01
33,1,34,1694,0.49
34,1,35,319,0.09
35,1,36,587,0.16
36,1,37,3476,1.00
37,1,38,44,0.01
38,1,39,16505,4.77
39,1,40,1569,0.45
40,2,1,517,0.16
41,2,2,1444,0.46
42,2,3,949,0.30
43,2,4,194,0.06
44,2,5,53828,17.28
45,2,6,4941,1.58
46,2,7,11182,3.58
47,2,8,168,0.05
48,2,9,19929,6.39
49,2,10,577,0.18
50,2,11,628,0.20
51,2,12,2743,0.88
52,2,13,712,0.22
53,2,14,320,0.10
54,2,15,439,0.14
55,2,16,2637,0.84
56,2,17,210,0.06
57,2,18,115,0.03
58,2,19,923,0.29
59,2,21,94,0.03
60,2,22,789,0.25
61,2,23,288,0.09
62,2,24,9144,2.93
63,2,25,2062,0.66
64,2,26,44125,14.16
65,2,27,47519,15.25
66,2,28,24951,8.01
67,2,29,237,0.07
68,2,30,60881,19.54
69,2,31,488,0.15
70,2,32,126,0.04
71,2,33,110,0.03
72,2,34,2144,0.68
73,2,35,377,0.12
74,2,36,819,0.26
75,2,37,1751,0.56
76,2,38,33,0.01
77,2,39,11680,3.74
78,2,40,1419,0.45
79,3,1,196,0.13
80,3,2,691,0.46
81,3,3,483,0.32
82,3,4,116,0.07
83,3,5,21266,14.44
84,3,6,2342,1.59
85,3,7,5730,3.89
86,3,8,76,0.05
87,3,9,11482,7.79
88,3,10,359,0.24
89,3,11,280,0.19
90,3,12,1302,0.88
91,3,13,347,0.23
92,3,14,148,0.10
93,3,15,192,0.13
94,3,16,1236,0.83
95,3,17,82,0.05
96,3,18,49,0.03
97,3,19,444,0.30
98,3,21,133,0.09
99,3,22,123,0.08
100,3,23,104,0.07
101,3,24,3212,2.18
102,3,25,1076,0.73
103,3,26,16709,11.34
104,3,27,20214,13.73
105,3,28,13660,9.27
106,3,29,189,0.12
107,3,30,31694,21.52
108,3,31,299,0.20
109,3,32,73,0.04
110,3,33,59,0.04
111,3,34,863,0.58
112,3,35,226,0.15
113,3,36,573,0.38
114,3,37,717,0.48
115,3,38,19,0.01
116,3,39,9764,6.63
117,3,40,696,0.47
