"obecVysledkyId","obecId","stranaId","hlasy","hlasyPct"
1,1,1,10,0.12
2,1,2,27,0.32
3,1,3,18,0.22
4,1,4,5,0.06
5,1,5,1756,21.01
6,1,6,55,0.66
7,1,7,205,2.45
8,1,8,9,0.11
9,1,9,190,2.27
10,1,10,8,0.10
11,1,11,6,0.07
12,1,12,32,0.38
13,1,13,15,0.18
14,1,14,2,0.02
15,1,15,2,0.02
16,1,16,61,0.73
17,1,17,6,0.07
18,1,19,14,0.17
19,1,21,1,0.01
20,1,22,9,0.11
21,1,23,6,0.07
22,1,24,302,3.61
23,1,25,71,0.85
24,1,26,2160,25.84
25,1,27,1624,19.43
26,1,28,410,4.91
27,1,29,1,0.01
28,1,30,603,7.21
29,1,31,6,0.07
30,1,32,2,0.02
31,1,33,1,0.01
32,1,34,31,0.37
33,1,35,8,0.10
34,1,36,14,0.17
35,1,37,103,1.23
36,1,39,558,6.68
37,1,40,27,0.32
38,2,1,9,0.07
39,2,2,40,0.32
40,2,3,32,0.26
41,2,4,1,0.01
42,2,5,2403,19.44
43,2,6,92,0.74
44,2,7,282,2.28
45,2,8,9,0.07
46,2,9,276,2.23
47,2,10,10,0.08
48,2,11,7,0.06
49,2,12,48,0.39
50,2,13,17,0.14
51,2,14,4,0.03
52,2,15,3,0.02
53,2,16,55,0.44
54,2,17,4,0.03
55,2,18,2,0.02
56,2,19,20,0.16
57,2,21,1,0.01
58,2,22,10,0.08
59,2,23,17,0.14
60,2,24,460,3.72
61,2,25,120,0.97
62,2,26,3099,25.07
63,2,27,2694,21.79
64,2,28,621,5.02
65,2,29,7,0.06
66,2,30,1080,8.74
67,2,31,10,0.08
68,2,32,2,0.02
69,2,33,3,0.02
70,2,34,50,0.40
71,2,35,14,0.11
72,2,36,13,0.11
73,2,37,129,1.04
74,2,38,1,0.01
75,2,39,658,5.32
76,2,40,58,0.47
77,3,1,16,0.09
78,3,2,45,0.24
79,3,3,45,0.24
80,3,4,13,0.07
81,3,5,3489,18.77
82,3,6,150,0.81
83,3,7,570,3.07
84,3,8,11,0.06
85,3,9,658,3.54
86,3,10,22,0.12
87,3,11,14,0.08
88,3,12,70,0.38
89,3,13,21,0.11
90,3,14,9,0.05
91,3,15,11,0.06
92,3,16,121,0.65
93,3,17,7,0.04
94,3,18,4,0.02
95,3,19,32,0.17
96,3,21,5,0.03
97,3,22,13,0.07
98,3,23,17,0.09
99,3,24,706,3.80
100,3,25,167,0.90
101,3,26,4134,22.24
102,3,27,3895,20.96
103,3,28,1022,5.50
104,3,29,6,0.03
105,3,30,2046,11.01
106,3,31,18,0.10
107,3,32,2,0.01
108,3,33,3,0.02
109,3,34,84,0.45
110,3,35,11,0.06
111,3,36,31,0.17
112,3,37,188,1.01
113,3,38,1,0.01
114,3,39,847,4.56
115,3,40,82,0.44
116,4,1,39,0.10
117,4,2,119,0.32
118,4,3,97,0.26
119,4,4,17,0.05
120,4,5,7003,18.80
121,4,6,322,0.86
122,4,7,1147,3.08
123,4,8,18,0.05
124,4,9,1346,3.61
125,4,10,33,0.09
126,4,11,26,0.07
127,4,12,182,0.49
128,4,13,59,0.16
129,4,14,18,0.05
130,4,15,22,0.06
131,4,16,257,0.69
132,4,17,13,0.03
133,4,18,7,0.02
134,4,19,62,0.17
135,4,21,5,0.01
136,4,22,38,0.10
137,4,23,26,0.07
138,4,24,1268,3.40
139,4,25,312,0.84
140,4,26,7835,21.03
141,4,27,6966,18.70
142,4,28,2104,5.65
143,4,29,15,0.04
144,4,30,5247,14.08
145,4,31,34,0.09
146,4,32,11,0.03
147,4,33,10,0.03
148,4,34,197,0.53
149,4,35,53,0.14
150,4,36,77,0.21
151,4,37,370,0.99
152,4,38,2,0.01
153,4,39,1744,4.68
154,4,40,152,0.41
155,5,1,21,0.09
156,5,2,53,0.23
157,5,3,60,0.26
158,5,4,12,0.05
159,5,5,4403,19.26
160,5,6,146,0.64
161,5,7,606,2.65
162,5,8,14,0.06
163,5,9,645,2.82
164,5,10,26,0.11
165,5,11,7,0.03
166,5,12,93,0.41
167,5,13,28,0.12
168,5,14,14,0.06
169,5,15,17,0.07
170,5,16,123,0.54
171,5,17,5,0.02
172,5,18,1,0.00
173,5,19,35,0.15
174,5,21,8,0.03
175,5,22,19,0.08
176,5,23,12,0.05
177,5,24,912,3.99
178,5,25,231,1.01
179,5,26,5429,23.75
180,5,27,4440,19.42
181,5,28,1223,5.35
182,5,29,6,0.03
183,5,30,2565,11.22
184,5,31,14,0.06
185,5,32,4,0.02
186,5,33,10,0.04
187,5,34,105,0.46
188,5,35,17,0.07
189,5,36,37,0.16
190,5,37,275,1.20
191,5,38,2,0.01
192,5,39,1165,5.10
193,5,40,80,0.35
194,6,1,41,0.12
195,6,2,111,0.32
196,6,3,79,0.23
197,6,4,22,0.06
198,6,5,6155,18.02
199,6,6,225,0.66
200,6,7,974,2.85
201,6,8,21,0.06
202,6,9,1238,3.62
203,6,10,24,0.07
204,6,11,15,0.04
205,6,12,113,0.33
206,6,13,49,0.14
207,6,14,17,0.05
208,6,15,13,0.04
209,6,16,208,0.61
210,6,17,15,0.04
211,6,18,4,0.01
212,6,19,48,0.14
213,6,21,11,0.03
214,6,22,33,0.10
215,6,23,17,0.05
216,6,24,1335,3.91
217,6,25,237,0.69
218,6,26,8617,25.23
219,6,27,6648,19.46
220,6,28,1581,4.63
221,6,29,12,0.04
222,6,30,3667,10.74
223,6,31,15,0.04
224,6,32,10,0.03
225,6,33,6,0.02
226,6,34,140,0.41
227,6,35,26,0.08
228,6,36,36,0.11
229,6,37,382,1.12
230,6,38,4,0.01
231,6,39,1859,5.44
232,6,40,146,0.43
233,7,1,7,0.06
234,7,2,39,0.32
235,7,3,36,0.29
236,7,4,7,0.06
237,7,5,2224,18.04
238,7,6,84,0.68
239,7,7,337,2.73
240,7,8,8,0.06
241,7,9,300,2.43
242,7,10,10,0.08
243,7,11,6,0.05
244,7,12,50,0.41
245,7,13,20,0.16
246,7,14,4,0.03
247,7,15,4,0.03
248,7,16,50,0.41
249,7,17,2,0.02
250,7,18,4,0.03
251,7,19,17,0.14
252,7,21,4,0.03
253,7,22,11,0.09
254,7,23,13,0.11
255,7,24,420,3.41
256,7,25,104,0.84
257,7,26,3217,26.10
258,7,27,2803,22.74
259,7,28,578,4.69
260,7,29,5,0.04
261,7,30,1021,8.28
262,7,31,9,0.07
263,7,33,1,0.01
264,7,34,58,0.47
265,7,35,8,0.06
266,7,36,19,0.15
267,7,37,171,1.39
268,7,38,3,0.02
269,7,39,606,4.92
270,7,40,65,0.53
271,8,1,27,0.10
272,8,2,96,0.34
273,8,3,78,0.28
274,8,4,23,0.08
275,8,5,4858,17.14
276,8,6,258,0.91
277,8,7,871,3.07
278,8,8,11,0.04
279,8,9,1449,5.11
280,8,10,22,0.08
281,8,11,27,0.10
282,8,12,131,0.46
283,8,13,40,0.14
284,8,14,9,0.03
285,8,15,28,0.10
286,8,16,170,0.60
287,8,17,184,0.65
288,8,18,11,0.04
289,8,19,45,0.16
290,8,21,6,0.02
291,8,22,29,0.10
292,8,23,24,0.08
293,8,24,955,3.37
294,8,25,247,0.87
295,8,26,5247,18.52
296,8,27,5495,19.39
297,8,28,1749,6.17
298,8,29,13,0.05
299,8,30,4194,14.80
300,8,31,28,0.10
301,8,32,8,0.03
302,8,33,9,0.03
303,8,34,150,0.53
304,8,35,27,0.10
305,8,36,38,0.13
306,8,37,233,0.82
307,8,38,3,0.01
308,8,39,1418,5.00
309,8,40,125,0.44
310,9,1,15,0.12
311,9,2,39,0.31
312,9,3,49,0.39
313,9,4,11,0.09
314,9,5,2617,20.61
315,9,6,105,0.83
316,9,7,359,2.83
317,9,8,4,0.03
318,9,9,424,3.34
319,9,10,18,0.14
320,9,11,20,0.16
321,9,12,61,0.48
322,9,13,16,0.13
323,9,14,4,0.03
324,9,15,4,0.03
325,9,16,98,0.77
326,9,17,10,0.08
327,9,18,3,0.02
328,9,19,20,0.16
329,9,22,14,0.11
330,9,23,12,0.09
331,9,24,490,3.86
332,9,25,122,0.96
333,9,26,2340,18.43
334,9,27,2340,18.43
335,9,28,757,5.96
336,9,29,8,0.06
337,9,30,1909,15.03
338,9,31,16,0.13
339,9,32,6,0.05
340,9,33,1,0.01
341,9,34,65,0.51
342,9,35,8,0.06
343,9,36,24,0.19
344,9,37,102,0.80
345,9,38,7,0.06
346,9,39,552,4.35
347,9,40,49,0.39
348,10,1,35,0.12
349,10,2,77,0.27
350,10,3,73,0.25
351,10,4,15,0.05
352,10,5,5207,18.10
353,10,6,235,0.82
354,10,7,855,2.97
355,10,8,14,0.05
356,10,9,1210,4.21
357,10,10,22,0.08
358,10,11,26,0.09
359,10,12,125,0.43
360,10,13,31,0.11
361,10,14,12,0.04
362,10,15,22,0.08
363,10,16,181,0.63
364,10,17,18,0.06
365,10,18,7,0.02
366,10,19,46,0.16
367,10,21,6,0.02
368,10,22,29,0.10
369,10,23,22,0.08
370,10,24,1000,3.48
371,10,25,213,0.74
372,10,26,5790,20.13
373,10,27,5638,19.60
374,10,28,1669,5.80
375,10,29,24,0.08
376,10,30,4080,14.19
377,10,31,31,0.11
378,10,32,5,0.02
379,10,33,3,0.01
380,10,34,146,0.51
381,10,35,26,0.09
382,10,36,35,0.12
383,10,37,414,1.44
384,10,38,4,0.01
385,10,39,1288,4.48
386,10,40,128,0.45
387,11,1,1,0.14
388,11,2,1,0.14
389,11,3,4,0.57
390,11,5,178,25.36
391,11,6,8,1.14
392,11,7,9,1.28
393,11,9,25,3.56
394,11,10,2,0.28
395,11,12,4,0.57
396,11,13,1,0.14
397,11,15,2,0.28
398,11,16,3,0.43
399,11,19,6,0.85
400,11,24,26,3.70
401,11,25,6,0.85
402,11,26,128,18.23
403,11,27,81,11.54
404,11,28,41,5.84
405,11,29,1,0.14
406,11,30,105,14.96
407,11,31,3,0.43
408,11,32,1,0.14
409,11,34,7,1.00
410,11,36,3,0.43
411,11,37,19,2.71
412,11,39,30,4.27
413,11,40,7,1.00
414,12,5,40,18.96
415,12,6,1,0.47
416,12,7,9,4.27
417,12,9,4,1.90
418,12,12,1,0.47
419,12,14,2,0.95
420,12,15,1,0.47
421,12,16,1,0.47
422,12,19,1,0.47
423,12,24,13,6.16
424,12,25,3,1.42
425,12,26,47,22.27
426,12,27,36,17.06
427,12,28,9,4.27
428,12,30,27,12.80
429,12,34,2,0.95
430,12,37,3,1.42
431,12,39,8,3.79
432,12,40,3,1.42
433,13,2,6,1.61
434,13,3,2,0.54
435,13,5,85,22.85
436,13,6,2,0.54
437,13,7,11,2.96
438,13,8,1,0.27
439,13,9,13,3.49
440,13,12,1,0.27
441,13,13,2,0.54
442,13,16,5,1.34
443,13,19,1,0.27
444,13,24,42,11.29
445,13,25,4,1.08
446,13,26,71,19.09
447,13,27,58,15.59
448,13,28,17,4.57
449,13,30,41,11.02
450,13,34,1,0.27
451,13,37,1,0.27
452,13,39,7,1.88
453,13,40,1,0.27
454,14,1,1,0.12
455,14,2,2,0.25
456,14,4,1,0.12
457,14,5,196,24.20
458,14,6,7,0.86
459,14,7,12,1.48
460,14,9,17,2.10
461,14,12,6,0.74
462,14,13,2,0.25
463,14,15,1,0.12
464,14,16,8,0.99
465,14,23,1,0.12
466,14,24,25,3.09
467,14,25,3,0.37
468,14,26,163,20.12
469,14,27,148,18.27
470,14,28,35,4.32
471,14,30,104,12.84
472,14,31,1,0.12
473,14,34,3,0.37
474,14,36,3,0.37
475,14,37,9,1.11
476,14,39,57,7.04
477,14,40,5,0.62
478,15,1,1,0.09
479,15,2,7,0.66
480,15,3,5,0.47
481,15,4,2,0.19
482,15,5,240,22.64
483,15,6,11,1.04
484,15,7,30,2.83
485,15,9,38,3.58
486,15,11,4,0.38
487,15,12,7,0.66
488,15,13,3,0.28
489,15,16,9,0.85
490,15,19,3,0.28
491,15,21,1,0.09
492,15,22,1,0.09
493,15,23,1,0.09
494,15,24,46,4.34
495,15,25,10,0.94
496,15,26,192,18.11
497,15,27,161,15.19
498,15,28,58,5.47
499,15,30,153,14.43
500,15,31,1,0.09
501,15,33,1,0.09
502,15,34,7,0.66
503,15,35,2,0.19
504,15,36,3,0.28
505,15,37,12,1.13
506,15,39,50,4.72
507,15,40,1,0.09
508,16,2,11,0.28
509,16,3,15,0.39
510,16,4,1,0.03
511,16,5,731,18.87
512,16,6,34,0.88
513,16,7,103,2.66
514,16,9,264,6.82
515,16,10,2,0.05
516,16,11,3,0.08
517,16,12,32,0.83
518,16,13,5,0.13
519,16,14,2,0.05
520,16,15,2,0.05
521,16,16,19,0.49
522,16,17,1,0.03
523,16,18,2,0.05
524,16,19,7,0.18
525,16,21,1,0.03
526,16,23,1,0.03
527,16,24,136,3.51
528,16,25,26,0.67
529,16,26,626,16.16
530,16,27,693,17.89
531,16,28,232,5.99
532,16,29,1,0.03
533,16,30,585,15.10
534,16,31,2,0.05
535,16,32,3,0.08
536,16,34,24,0.62
537,16,35,1,0.03
538,16,36,7,0.18
539,16,37,36,0.93
540,16,38,5,0.13
541,16,39,243,6.27
542,16,40,17,0.44
543,17,1,2,0.18
544,17,2,4,0.37
545,17,3,4,0.37
546,17,4,5,0.46
547,17,5,276,25.21
548,17,6,12,1.10
549,17,7,23,2.10
550,17,9,19,1.74
551,17,10,2,0.18
552,17,12,5,0.46
553,17,13,2,0.18
554,17,15,1,0.09
555,17,16,7,0.64
556,17,21,1,0.09
557,17,22,1,0.09
558,17,24,62,5.66
559,17,25,11,1.00
560,17,26,249,22.74
561,17,27,178,16.26
562,17,28,48,4.38
563,17,30,119,10.87
564,17,31,1,0.09
565,17,32,1,0.09
566,17,34,3,0.27
567,17,37,9,0.82
568,17,38,1,0.09
569,17,39,47,4.29
570,17,40,2,0.18
571,18,2,2,0.46
572,18,3,1,0.23
573,18,5,113,26.22
574,18,7,6,1.39
575,18,9,12,2.78
576,18,10,2,0.46
577,18,13,1,0.23
578,18,16,3,0.70
579,18,19,1,0.23
580,18,22,1,0.23
581,18,24,20,4.64
582,18,25,1,0.23
583,18,26,91,21.11
584,18,27,65,15.08
585,18,28,21,4.87
586,18,30,66,15.31
587,18,31,2,0.46
588,18,34,2,0.46
589,18,36,1,0.23
590,18,37,5,1.16
591,18,39,14,3.25
592,18,40,1,0.23
593,19,1,3,0.24
594,19,2,7,0.56
595,19,3,5,0.40
596,19,5,252,20.18
597,19,6,14,1.12
598,19,7,35,2.80
599,19,9,23,1.84
600,19,11,1,0.08
601,19,12,5,0.40
602,19,13,2,0.16
603,19,14,1,0.08
604,19,15,3,0.24
605,19,16,7,0.56
606,19,18,4,0.32
607,19,19,4,0.32
608,19,22,9,0.72
609,19,23,1,0.08
610,19,24,57,4.56
611,19,25,11,0.88
612,19,26,280,22.42
613,19,27,244,19.54
614,19,28,45,3.60
615,19,30,126,10.09
616,19,31,1,0.08
617,19,32,1,0.08
618,19,34,4,0.32
619,19,35,1,0.08
620,19,36,4,0.32
621,19,37,19,1.52
622,19,39,70,5.60
623,19,40,10,0.80
624,20,5,16,14.81
625,20,7,10,9.26
626,20,9,5,4.63
627,20,10,1,0.93
628,20,17,1,0.93
629,20,19,1,0.93
630,20,24,2,1.85
631,20,25,1,0.93
632,20,26,17,15.74
633,20,27,18,16.67
634,20,28,6,5.56
635,20,30,25,23.15
636,20,34,1,0.93
637,20,39,3,2.78
638,20,40,1,0.93
639,21,2,1,0.25
640,21,3,2,0.49
641,21,4,1,0.25
642,21,5,120,29.41
643,21,6,5,1.23
644,21,7,6,1.47
645,21,8,1,0.25
646,21,9,3,0.74
647,21,12,1,0.25
648,21,16,2,0.49
649,21,24,16,3.92
650,21,25,3,0.74
651,21,26,94,23.04
652,21,27,67,16.42
653,21,28,14,3.43
654,21,30,47,11.52
655,21,34,1,0.25
656,21,36,2,0.49
657,21,37,4,0.98
658,21,39,13,3.19
659,21,40,5,1.23
660,22,5,20,24.10
661,22,6,2,2.41
662,22,7,5,6.02
663,22,9,4,4.82
664,22,12,1,1.20
665,22,13,1,1.20
666,22,24,6,7.23
667,22,26,11,13.25
