"okresId","krajId","nuts4","nazev","okrsky","zpracovano","pocetVolicu","vydaneObalky","ucast","odevzdaneObalky","platneHlasy"
1,1,"CZ0100","Praha",1116,1116,907999,347892,38.31,347714,345558
2,2,"CZ0201","Benešov",217,217,78620,23812,30.29,23806,23627
3,2,"CZ0202","Beroun",126,126,71143,21268,29.89,21264,21138
4,2,"CZ0203","Kladno",212,212,127679,33642,26.35,33626,33408
5,2,"CZ0204","Kolín",167,167,78531,22252,28.34,22245,22097
6,2,"CZ0205","Kutná Hora",162,162,60152,16777,27.89,16777,16661
7,2,"CZ0206","Mělník",146,146,83347,22239,26.68,22230,22084
8,2,"CZ0207","Mladá Boleslav",222,222,94425,26290,27.84,26282,26052
9,2,"CZ0208","Nymburk",158,158,76338,22437,29.39,22429,22271
10,2,"CZ0209","Praha-východ",178,178,127070,45004,35.42,44996,44741
11,2,"CZ020A","Praha-západ",129,129,103336,40423,39.12,40413,40184
12,2,"CZ020B","Příbram",226,226,92092,27754,30.14,27749,27564
13,2,"CZ020C","Rakovník",120,120,44214,11771,26.62,11761,11666
14,3,"CZ0311","České Budějovice",306,306,153350,45616,29.75,45603,45288
15,3,"CZ0312","Český Krumlov",80,80,47553,12497,26.28,12494,12393
16,3,"CZ0313","Jindřichův Hradec",215,215,74134,21572,29.10,21553,21406
17,3,"CZ0314","Písek",147,147,56928,16542,29.06,16540,16413
18,3,"CZ0315","Prachatice",109,109,40956,10831,26.45,10824,10748
19,3,"CZ0316","Strakonice",196,196,56363,16457,29.20,16454,16347
20,3,"CZ0317","Tábor",207,207,82489,24830,30.10,24820,24629
21,4,"CZ0321","Domažlice",138,138,48029,12581,26.19,12580,12455
22,4,"CZ0322","Klatovy",231,231,69637,20127,28.90,20122,19985
23,4,"CZ0323","Plzeň-město",208,208,143769,44417,30.89,44398,44095
24,4,"CZ0324","Plzeň-jih",177,177,49597,13403,27.02,13401,13298
25,4,"CZ0325","Plzeň-sever",147,147,63085,16876,26.75,16871,16768
26,4,"CZ0326","Rokycany",101,101,38368,10405,27.12,10402,10303
27,4,"CZ0327","Tachov",85,85,40727,8917,21.89,8917,8850
28,5,"CZ0411","Cheb",112,112,70630,16431,23.26,16419,16300
