"okresVysledkyId","okresId","stranaId","hlasy","hlasyPct"
1,1,1,375,0.11
2,1,2,1095,0.32
3,1,3,939,0.27
4,1,4,216,0.06
5,1,5,65259,18.89
6,1,6,2948,0.85
7,1,7,9712,2.81
8,1,8,159,0.05
9,1,9,13156,3.81
10,1,10,307,0.09
11,1,11,272,0.08
12,1,12,1629,0.47
13,1,13,483,0.14
14,1,14,180,0.05
15,1,15,223,0.06
16,1,16,2293,0.66
17,1,17,320,0.09
18,1,18,71,0.02
19,1,19,655,0.19
20,1,21,86,0.02
21,1,22,355,0.10
22,1,23,267,0.08
23,1,24,12805,3.71
24,1,25,3005,0.87
25,1,26,71687,20.75
26,1,27,66099,19.13
27,1,28,19958,5.78
28,1,29,191,0.06
29,1,30,46137,13.35
30,1,31,328,0.09
31,1,32,86,0.02
32,1,33,68,0.02
33,1,34,1694,0.49
34,1,35,319,0.09
35,1,36,587,0.17
36,1,37,3476,1.01
37,1,38,44,0.01
38,1,39,16505,4.78
39,1,40,1569,0.45
40,2,1,32,0.14
41,2,2,104,0.44
42,2,3,82,0.35
43,2,4,16,0.07
44,2,5,3492,14.78
45,2,6,352,1.49
46,2,7,975,4.13
47,2,8,10,0.04
48,2,9,1468,6.21
49,2,10,55,0.23
50,2,11,74,0.31
51,2,12,206,0.87
52,2,13,61,0.26
53,2,14,29,0.12
54,2,15,30,0.13
55,2,16,196,0.83
56,2,17,11,0.05
57,2,18,12,0.05
58,2,19,67,0.28
59,2,21,5,0.02
60,2,22,24,0.10
61,2,23,28,0.12
62,2,24,527,2.23
63,2,25,151,0.64
64,2,26,2900,12.27
65,2,27,3377,14.29
66,2,28,1882,7.97
67,2,29,12,0.05
68,2,30,5318,22.51
69,2,31,40,0.17
70,2,32,10,0.04
71,2,33,6,0.03
72,2,34,135,0.57
73,2,35,29,0.12
74,2,36,96,0.41
75,2,37,118,0.50
76,2,38,2,0.01
77,2,39,1599,6.77
78,2,40,96,0.41
79,3,1,39,0.18
80,3,2,104,0.49
