"stranaId","kodCSU","nazev","zkratka","plnyNazev","pocetStranVKoalici","pocetMandatu","slozeniStranKodyCSU"
1,40,"Klub angažovaných nestraníků","KAN","Klub angažovaných nestraníků",1,0,"[""040""]"
2,1178,"Strana nezávislosti České republiky","SNČR","Strana nezávislosti České republiky",1,0,"[""1178""]"
3,1177,"CESTA ODPOVĚDNÉ SPOLEČNOSTI","CESTA","CESTA ODPOVĚDNÉ SPOLEČNOSTI",1,0,"[""1177""]"
4,764,"Národní socialisté","NÁR.SOC.","Národní socialisté",1,0,"[""764""]"
5,53,"Občanská demokratická strana","ODS","Občanská demokratická strana",1,4,"[""053""]"
6,1206,"ANO, vytrollíme europarlament","""EU TROLL""","ANO, vytrollíme europarlament",1,0,"[""1206""]"
7,7,"Česká strana sociálně demokratická","ČSSD","Česká strana sociálně demokratická",1,0,"[""007""]"
8,794,"Romská demokratická strana","RDS","Romská demokratická strana",1,0,"[""794""]"
9,47,"Komunistická strana Čech a Moravy","KSČM","Komunistická strana Čech a Moravy",1,1,"[""047""]"
10,600,"Dělnická strana sociální spravedlnosti - Za národní suverenitu!","DSSS+NF","Dělnická strana sociální spravedlnosti - Za národní suverenitu!",2,0,"[""156"", ""761""]"
11,1125,"Sdružení pro republiku - Republikánská strana Československa Miroslava Sládka","SPRRSČ M.Sládka","Sdružení pro republiku - Republikánská strana Československa Miroslava Sládka",1,0,"[""1125""]"
12,1438,"ROZUMNÍ a Národní demokracie - STOP MIGRACI - NECHCEME EURO","Rozumní+ND","ROZUMNÍ a Národní demokracie - STOP MIGRACI - NECHCEME EURO",2,0,"[""079"", ""137""]"
